Region,Province,Municipality,Total Population,Male,Female,Households,Employed,Unemployed,Self-Employed
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Special Geographic Area - Midsayap I,91426,46831,44595,22168,39104,4672,15413
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Special Geographic Area - Midsayap II,84491,42297,42194,20657,31763,2407,12310
Region XIII (Caraga),Surigao del Sur,Lingig,70019,33647,36372,13732,29862,2947,9575
Region VI (Western Visayas),Negros Occidental,Cauayan,61881,31050,30831,16380,28911,2293,8951
Region VIII (Eastern Visayas),Southern Leyte,Hinunangan,25612,12796,12816,4979,10498,860,2972
Region VI (Western Visayas),Negros Occidental,Ilog,94682,46079,48603,19266,37271,4274,14303
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Sultan Dumalondong,13191,6476,6715,3544,5707,401,1806
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Margosatubig,52403,25698,26705,12023,21213,2111,7702
Cordillera Administrative Region (CAR),Abra,Lagayan,62231,31333,30898,16538,26077,3073,10180
Region X (Northern Mindanao),Misamis Occidental,Baliangao,58764,29258,29506,12315,23116,2012,9884
Region VI (Western Visayas),Iloilo,Sara,9894,4762,5132,1870,4526,460,1181
Region VIII (Eastern Visayas),Samar (Western Samar),Calbayog City,21032,10930,10102,4785,8561,778,3632
Region IV-B (Mimaropa),Romblon,Santa Fe,17217,8918,8299,4871,6725,502,2762
Region VIII (Eastern Visayas),Biliran,Maripipi,64912,33527,31385,14491,27703,1775,10699
Region IX (Zamboanga Peninsula),Zamboanga del Sur,San Miguel,57820,29524,28296,15531,25102,2195,9279
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Lantawan,65305,31960,33345,12278,27695,2367,9207
Region X (Northern Mindanao),Misamis Oriental,Cagayan de Oro City (Capital),55244,28084,27160,12141,21028,1329,8453
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Saudi-Ampatuan,91728,44059,47669,19288,36584,3098,13272
Region I (Ilocos Region),Ilocos Norte,Piddig,63359,32074,31285,14368,27352,2424,7898
Region VI (Western Visayas),Negros Occidental,Moises Padilla (Magallon),60143,30833,29310,12986,22940,1665,9459
Region IV-A (Calabarzon),Quezon,Dolores,76174,39335,36839,13854,31790,2756,13098
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Picong (Sultan Gumander),54536,27815,26721,10046,22293,2186,9460
Region XIII (Caraga),Surigao del Norte,Surigao City (Capital),56157,27965,28192,11970,23202,2015,7492
Region VIII (Eastern Visayas),Southern Leyte,Libagon,56909,27827,29082,10375,24602,1588,9146
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Binidayan,85990,42763,43227,19326,40449,3570,11779
Region III (Central Luzon),Nueva Ecija,Zaragoza,8279,4094,4185,1686,3635,320,1260
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Sulu,Talipao,59065,28751,30314,13550,22826,2514,9595
Cordillera Administrative Region (CAR),Kalinga,Pasil,39501,20007,19494,8799,16998,1384,5887
Region VIII (Eastern Visayas),Northern Samar,Mondragon,33553,16298,17255,6132,13925,1022,4374
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Talitay,13973,6729,7244,3902,6198,370,1962
Region IV-B (Mimaropa),Oriental Mindoro,Gloria,22815,11085,11730,5830,9405,687,3041
Region I (Ilocos Region),Ilocos Sur,Caoayan,29144,14641,14503,7574,11963,809,3489
Cordillera Administrative Region (CAR),Abra,Sallapadan,94235,48149,46086,17718,37706,3578,10623
Region VII (Central Visayas),Negros Oriental,City of Tanjay,11913,6150,5763,2461,4566,388,1817
Region VIII (Eastern Visayas),Eastern Samar,Quinapondan,94122,47322,46800,18050,40446,2432,13746
Region XI (Davao Region),Davao del Norte,Talaingod,45388,22139,23249,12028,20344,1175,6961
Region II (Cagayan Valley),Isabela,Maconacon,57169,27592,29577,11772,24866,2154,6262
National Capital Region (NCR),Metropolitan Manila First District,City of Manila,85470,44060,41410,19417,34733,3506,9562
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Sultan Sa Barongis (Lambayong),78272,38196,40076,19933,33870,2632,10553
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Aurora,45054,22591,22463,8983,18649,1425,7951
Region XII (Soccsksargen),Cotabato (North Cotabato),Aleosan,15781,7764,8017,3217,6815,498,2672
Region V (Bicol Region),Catanduanes,Bagamanoc,39080,18789,20291,8681,17498,1247,4868
Cordillera Administrative Region (CAR),Abra,Bucay,76342,37591,38751,18202,30897,1818,10254
Region III (Central Luzon),Zambales,San Narciso,21261,10941,10320,3998,8710,754,3634
Region I (Ilocos Region),Ilocos Sur,Suyo,69696,33912,35784,17018,27254,2752,10765
Region III (Central Luzon),Tarlac,Victoria,67471,35034,32437,12441,29754,2043,11588
Region II (Cagayan Valley),Cagayan,Pamplona,99034,49856,49178,19112,40839,3016,12686
Region II (Cagayan Valley),Isabela,Palanan,75284,38706,36578,19537,35643,2159,10726
Region X (Northern Mindanao),Misamis Oriental,Villanueva,5138,2576,2562,1093,1945,199,830
Region III (Central Luzon),Bataan,Mariveles,78298,40517,37781,14855,31766,2587,11643
Region IV-B (Mimaropa),Palawan,Narra,74633,38379,36254,18314,32310,2959,8505
